player,team,oart_mean,oart_std,n_passes,completion_rate,avg_chosen_prob,avg_options
Nicolás Hernán Otamendi,Argentina,0.2971,0.2656,481,0.9418,0.9251,7.8191
Niklas Süle,Germany,0.4028,0.3223,219,0.9269,0.8774,6.411
Nikola Milenković,Serbia,0.3772,0.3282,135,0.8667,0.8521,7.0296
Nikola Vlašić,Croatia,0.5028,0.395,45,0.8444,0.7828,6.0444
Nouhou Tolo,Cameroon,0.4879,0.4068,86,0.7326,0.7524,6.2907
Noussair Mazraoui,Morocco,0.4352,0.3777,86,0.8605,0.8495,6.3256
Néstor Alejandro Araújo Razo,Mexico,0.3635,0.3699,42,0.8333,0.8134,7.5238
Olivier Giroud,France,0.6769,0.3466,59,0.678,0.6852,7.0169
Otávio Edmilson da Silva Monteiro,Portugal,0.5091,0.349,115,0.7652,0.7681,7.7304
Ousmane Dembélé,France,0.448,0.3641,163,0.7975,0.7636,6.0675
Pablo Martín Páez Gavira,Spain,0.356,0.3277,135,0.8741,0.8665,6.7704
Pape Abou Cissé,Senegal,0.4544,0.3702,35,0.8,0.762,7.6
Pape Gueye,Senegal,0.4624,0.3692,51,0.7647,0.7809,7.098
Pape Matar Sarr,Senegal,0.4029,0.3376,39,0.8462,0.8287,6.7692
Pathé Ismaël Ciss,Senegal,0.482,0.3481,54,0.8333,0.7823,6.8704
Pau Francisco Torres,Spain,0.3156,0.2771,180,0.9056,0.9326,7.5556
Pedro González López,Spain,0.4027,0.3263,402,0.9279,0.8674,7.1418
Pedro Miguel Correia,Qatar,0.519,0.4014,92,0.6739,0.6909,6.1522
Pervis Josué Estupiñán Tenorio,Ecuador,0.4803,0.3912,146,0.7877,0.7463,6.0822
Philip Foden,England,0.4382,0.3514,97,0.8247,0.7898,6.3299
Piero Martín Hincapié Reyna,Ecuador,0.4126,0.3425,180,0.8722,0.8687,5.5722
Pierre Kunde Malong,Cameroon,0.4338,0.3659,44,0.7955,0.7306,7.4318
Pierre-Emile Højbjerg,Denmark,0.4795,0.3415,200,0.9,0.8683,6.38
Piotr Zieliński,Poland,0.5459,0.3473,136,0.8088,0.7341,6.9485
Przemysław Frankowski,Poland,0.5427,0.3698,65,0.7077,0.7112,6.2615
Rafael Alexandre Conceição Leão,Portugal,0.515,0.3669,35,0.7429,0.775,6.5714
Raheem Sterling,England,0.4602,0.3859,56,0.8036,0.7875,5.9821
Ramin Rezaeian,Iran,0.6095,0.3491,86,0.6744,0.6483,6.3605
Randal Kolo Muani,France,0.5877,0.3673,32,0.6562,0.7328,6.9375
Raphael Dias Belloli,Brazil,0.4877,0.3821,120,0.75,0.7042,6.5333
Raphaël Adelino José Guerreiro,Portugal,0.4473,0.348,155,0.8452,0.8104,7.1226
Raphaël Varane,France,0.3733,0.3211,239,0.9079,0.8991,6.8285
Rasmus Nissen Kristensen,Denmark,0.4432,0.3598,139,0.777,0.7889,5.6043
Raúl Alonso Jiménez Rodríguez,Mexico,0.8332,0.2029,25,0.52,0.4873,6.36
Remo Freuler,Switzerland,0.4399,0.3279,129,0.8527,0.8477,6.9225
Ricardo Iván Rodríguez Araya,Switzerland,0.4934,0.3695,163,0.7546,0.75,7.2209
Ricardo Jorge Luz Horta,Portugal,0.4916,0.3651,43,0.6977,0.7513,6.6047
Richarlison de Andrade,Brazil,0.6582,0.3338,51,0.7451,0.7068,5.9216
Richie Laryea,Canada,0.4419,0.372,41,0.7561,0.7678,6.0976
Riley McGree,Australia,0.6091,0.3303,60,0.7333,0.7455,6.3667
Ritsu Doan,Japan,0.5989,0.3631,52,0.6538,0.6753,6.3846
Robert Lewandowski,Poland,0.6375,0.3711,81,0.7037,0.6758,6.1235
Rodrigo Bentancur Colmán,Uruguay,0.4716,0.3527,143,0.8392,0.8314,6.1119
Rodrigo Hernández Cascante,Spain,0.3322,0.2902,634,0.9479,0.9154,7.1909
Rodrigo Javier De Paul,Argentina,0.4011,0.3373,473,0.8393,0.8415,7.3277
Rodrygo Silva de Goes,Brazil,0.4917,0.3321,97,0.7938,0.7797,6.6289
Romain Saïss,Morocco,0.4627,0.3656,161,0.8137,0.8073,6.1615
Ruben Vargas,Switzerland,0.5202,0.3712,93,0.6989,0.6729,6.6452
Rúben Diogo Da Silva Neves,Portugal,0.3484,0.293,226,0.9204,0.8978,7.2699
Rúben Santos Gato Alves Dias,Portugal,0.3087,0.2651,226,0.9292,0.9158,7.4779
Saeid Ezatolahi Afagh,Iran,0.5427,0.3603,81,0.7531,0.7454,6.5926
Saleh Khalid Al Shehri,Saudi Arabia,0.6189,0.3602,39,0.6923,0.6732,6.5385
Salem Mohammed Al Dawsari,Saudi Arabia,0.5475,0.3586,103,0.7767,0.7319,5.8738
Salis Abdul Samed,Ghana,0.4354,0.3097,123,0.9106,0.8714,6.561
Sam Adekugbe,Canada,0.4177,0.3692,52,0.8462,0.7962,5.9808
Samuel Yves Oum Gwet,Cameroon,0.4338,0.3465,55,0.9091,0.8456,6.0545
Sang-Ho Na,South Korea,0.5227,0.3993,33,0.6364,0.6228,4.5152
Sardar Azmoun,Iran,0.7919,0.2774,29,0.5172,0.5618,5.7241
