frame,time_sec,tracker_id,class,confidence,center_x,center_y,pitch_x,pitch_y
13,0.52,17,person,0.627,651.1,125.0,74.64928,27.645487
13,0.52,3,sports ball,0.617,379.2,329.3,52.444195,54.670116
13,0.52,19,person,0.584,492.4,395.6,58.992367,63.38347
13,0.52,47,person,0.537,228.9,105.9,41.929005,18.97307
13,0.52,8,person,0.495,786.3,136.1,84.53276,31.160664
13,0.52,7,person,0.463,352.9,151.9,51.527706,28.736269
13,0.52,10,person,0.438,592.0,270.0,67.08049,49.150204
13,0.52,21,person,0.431,464.6,370.8,57.52856,60.370033
13,0.52,15,person,0.416,838.4,408.7,79.46634,67.78291
13,0.52,55,person,0.308,821.7,134.9,87.24077,31.375113
14,0.56,1,person,0.738,679.0,256.7,73.21117,48.238758
14,0.56,3,sports ball,0.626,379.6,329.5,52.46885,54.69848
14,0.56,19,person,0.606,488.9,392.8,58.808147,63.046185
14,0.56,13,person,0.604,355.2,447.5,50.49057,67.67705
14,0.56,26,person,0.541,388.0,258.6,53.4303,45.52398
14,0.56,17,person,0.528,656.8,126.0,75.05631,27.888512
14,0.56,4,person,0.519,803.1,220.8,82.72818,44.518143
14,0.56,47,person,0.507,234.4,109.6,42.382294,19.738918
14,0.56,8,person,0.493,793.2,136.8,85.024475,31.359858
14,0.56,31,person,0.404,604.0,268.5,67.9125,49.07034
14,0.56,10,person,0.375,593.0,269.4,67.15848,49.08005
14,0.56,55,person,0.357,828.8,135.8,87.7371,31.610188
15,0.6,4,person,0.781,809.7,221.2,83.17229,44.645103
15,0.6,1,person,0.72,685.6,256.0,73.67373,48.210854
15,0.6,26,person,0.707,389.6,259.9,53.53113,45.720634
15,0.6,17,person,0.671,661.4,127.3,75.369705,28.169931
15,0.6,13,person,0.655,366.8,447.4,51.168922,67.76419
15,0.6,47,person,0.566,241.0,109.4,42.904987,19.7842
15,0.6,7,person,0.551,359.1,151.4,51.99888,28.724123
15,0.6,3,sports ball,0.522,381.0,330.0,52.556114,54.77313
15,0.6,8,person,0.514,800.6,137.7,85.54506,31.59818
15,0.6,19,person,0.492,485.6,378.7,58.7472,61.452187
15,0.6,31,person,0.485,609.2,268.4,68.26295,49.1093
15,0.6,10,person,0.417,592.0,270.6,67.06952,49.23033
15,0.6,6,person,0.339,599.2,270.1,67.56076,49.23593
16,0.64,19,person,0.739,483.6,379.1,58.62044,61.479168
16,0.64,1,person,0.725,692.2,256.1,74.116936,48.291603
16,0.64,26,person,0.688,393.0,259.7,53.764175,45.727833
16,0.64,6,person,0.638,605.9,269.7,68.01689,49.249863
16,0.64,7,person,0.593,362.2,152.6,52.226147,28.964674
16,0.64,13,person,0.563,373.3,445.8,51.555103,67.6558
16,0.64,17,person,0.548,665.2,126.6,75.68028,28.093811
16,0.64,47,person,0.543,245.2,109.1,43.23708,19.780632
16,0.64,4,person,0.543,815.7,221.8,83.56755,44.79419
16,0.64,8,person,0.524,808.3,138.1,86.10675,31.7557
16,0.64,11,person,0.487,404.7,167.5,55.298656,31.947855
16,0.64,3,sports ball,0.43,382.7,330.3,52.663605,54.826035
16,0.64,31,person,0.385,612.9,268.1,68.51677,49.106403
17,0.68,1,person,0.71,698.1,255.5,74.530266,48.270176
17,0.68,26,person,0.702,396.2,259.1,53.986366,45.677563
17,0.68,13,person,0.701,377.9,444.4,51.830044,67.55161
17,0.68,3,sports ball,0.686,383.8,331.1,52.729874,54.93448
17,0.68,6,person,0.628,610.1,268.1,68.32908,49.078213
17,0.68,4,person,0.626,820.6,222.7,83.875854,44.974262
17,0.68,19,person,0.585,477.9,379.7,58.26475,61.49545
17,0.68,7,person,0.578,365.8,151.0,52.507557,28.734892
17,0.68,17,person,0.537,671.8,129.1,76.10901,28.606453
17,0.68,47,person,0.523,249.7,108.8,43.5931,19.780828
17,0.68,11,person,0.514,410.1,166.1,55.7122,31.779732
17,0.68,8,person,0.484,814.8,138.3,86.58589,31.865461
18,0.72,3,sports ball,0.789,386.1,331.9,52.872917,55.054115
18,0.72,1,person,0.711,704.7,255.1,74.98612,48.283035
18,0.72,13,person,0.679,386.4,443.1,52.333603,67.49029
18,0.72,26,person,0.651,399.4,260.3,54.19613,45.87649
18,0.72,6,person,0.61,614.1,268.4,68.5913,49.15861
18,0.72,4,person,0.606,825.2,222.4,84.20443,44.979935
18,0.72,5,person,0.603,481.9,390.7,58.403355,62.753506
18,0.72,8,person,0.524,822.0,139.4,87.08073,32.13385
18,0.72,7,person,0.457,372.1,150.3,52.988224,28.68983
18,0.72,47,person,0.418,254.6,109.7,43.98395,20.01087
18,0.72,17,person,0.38,675.1,126.3,76.44491,28.1604
18,0.72,11,person,0.368,413.8,168.7,55.96276,32.249264
19,0.76,3,sports ball,0.78,387.4,331.4,52.958958,55.005257
19,0.76,13,person,0.708,393.2,441.2,52.741283,67.35306
19,0.76,1,person,0.708,710.0,255.1,75.34402,48.33699
19,0.76,26,person,0.618,402.3,265.3,54.357864,46.594215
19,0.76,6,person,0.611,620.3,266.8,69.038734,49.006832
