frame,time_sec,class,confidence,center_x,center_y,width,height
45,1.8,person,0.309,437.4,319.2,22.5,47.0
50,2.0,person,0.806,413.0,324.2,26.1,48.2
50,2.0,person,0.718,443.7,316.2,36.8,54.0
50,2.0,person,0.667,601.0,414.5,27.3,65.6
50,2.0,person,0.661,708.6,276.5,21.8,46.5
50,2.0,person,0.646,186.6,243.2,16.3,34.6
50,2.0,person,0.599,782.6,262.7,19.9,47.7
50,2.0,person,0.585,488.3,171.8,22.4,38.3
50,2.0,person,0.58,799.6,140.2,16.6,33.6
50,2.0,person,0.575,350.4,362.4,32.5,52.1
50,2.0,person,0.551,340.2,123.0,24.4,28.3
50,2.0,person,0.549,651.2,271.4,34.6,45.0
50,2.0,sports ball,0.424,313.0,343.9,9.9,8.8
50,2.0,person,0.419,423.1,148.4,14.9,37.1
50,2.0,person,0.407,645.9,271.4,23.6,45.0
50,2.0,person,0.355,562.0,178.5,14.1,23.3
50,2.0,person,0.338,564.5,179.8,19.2,26.4
55,2.2,sports ball,0.732,281.4,348.1,9.3,10.3
55,2.2,person,0.713,647.8,419.2,32.5,67.3
55,2.2,person,0.64,510.3,174.1,14.9,36.0
55,2.2,person,0.631,204.8,249.8,18.1,35.9
55,2.2,person,0.621,827.4,271.3,17.4,50.6
55,2.2,person,0.595,736.5,280.3,31.0,45.4
55,2.2,person,0.594,339.0,363.4,35.4,56.3
55,2.2,person,0.559,421.2,329.2,20.5,47.3
55,2.2,person,0.545,450.8,314.2,26.3,49.9
55,2.2,person,0.542,362.3,125.9,20.6,27.9
55,2.2,person,0.483,443.1,146.8,13.4,32.3
55,2.2,person,0.462,591.1,184.0,19.5,35.0
55,2.2,person,0.443,665.7,275.1,30.4,48.1
55,2.2,person,0.37,732.0,279.9,21.3,45.3
55,2.2,person,0.328,449.3,308.7,22.2,38.4
55,2.2,person,0.317,661.4,271.5,20.6,40.6
60,2.4,person,0.71,343.9,358.6,30.8,54.2
60,2.4,sports ball,0.658,273.8,351.4,8.6,9.8
60,2.4,person,0.629,443.8,338.3,31.2,49.2
60,2.4,person,0.606,473.7,307.9,23.3,44.2
60,2.4,person,0.598,399.9,130.6,16.7,31.4
60,2.4,person,0.571,233.1,257.4,20.9,33.2
60,2.4,person,0.567,547.8,174.4,14.6,29.8
60,2.4,person,0.496,633.0,187.4,21.0,38.2
60,2.4,person,0.461,478.3,146.3,18.0,32.0
60,2.4,person,0.461,695.5,281.7,24.3,49.7
65,2.6,person,0.764,464.3,339.3,39.5,45.3
65,2.6,person,0.688,348.4,355.1,34.2,52.5
65,2.6,person,0.627,503.5,303.3,31.1,42.2
65,2.6,person,0.572,731.0,283.5,43.1,49.1
65,2.6,person,0.551,590.5,176.5,21.8,29.0
65,2.6,person,0.512,263.3,261.7,26.2,32.4
65,2.6,sports ball,0.506,277.1,352.4,11.6,10.1
65,2.6,person,0.491,497.9,302.5,20.3,39.4
65,2.6,person,0.426,818.5,294.3,26.3,44.5
65,2.6,person,0.405,521.5,147.4,24.7,34.7
65,2.6,person,0.361,815.6,292.2,21.3,39.7
65,2.6,person,0.358,592.9,177.8,28.2,32.2
70,2.8,person,0.783,766.0,287.4,38.8,52.4
